Gene.name	Chromosome	Start	End
TP73-AS2	1	3712200	3714298
GFOD3P	1	3735511	3747373
ENSG00000276189	1	3736943	3737103
CCDC27	1	3746460	3771645
SMIM1	1	3772749	3775982
LRRC47	1	3778559	3796498
RN7SL574P	1	3782815	3783111
ENSG00000272153	1	3785008	3785538
CEP104	1	3812086	3857396
DFFB	1	3857267	3885429
C1orf174	1	3889125	3900293
LINC01134	1	3900347	3917225
LINC01346	1	3940486	3955262
LINC01345	1	3944547	3949024
LINC02780	1	3976133	4012704
ENSG00000284703	1	4012921	4019508
EEF1DP6	1	4175528	4175899
LINC01777	1	4412027	4424689
ENSG00000284694	1	4479131	4484375
ENSG00000227169	1	4551735	4552145
LINC01646	1	4571481	4594016
AJAP1	1	4654609	4792534
ENSG00000287586	1	4730211	4734992
ENSG00000284739	1	4963954	4973298
LINC02781	1	4973381	4981568
LINC02782	1	5086459	5090899
ENSG00000284616	1	5301928	5307394
ENSG00000284692	1	5478736	5493057
ENSG00000284666	1	5480787	5482028
ENSG00000260972	1	5492978	5494674
ENSG00000283356	1	5554747	5554881
ENSG00000236948	1	5561709	5668295
ENSG00000264341	1	5564071	5564143
ENSG00000289893	1	5733358	5771453
MIR4689	1	5862672	5862741
NPHP4	1	5862811	5992473
KCNAB2	1	5990927	6101193
CHD5	1	6101787	6180321
ENSG00000285629	1	6159430	6197757
RPL22	1	6185020	6209389
RNF207-AS1	1	6204840	6205780
RNF207	1	6205475	6221299
ICMT	1	6221193	6235972
ICMT-DT	1	6234692	6239444
HES3	1	6244179	6245578
GPR153	1	6247353	6261098
ACOT7	1	6264269	6393767
ENSG00000271746	1	6393555	6394391
HES2	1	6412418	6424670
ESPN	1	6424776	6461367
MIR4252	1	6429834	6429896
ENSG00000231868	1	6443034	6447006
TNFRSF25	1	6460786	6466175
PLEKHG5	1	6467122	6520074
NOL9	1	6521347	6554513
RNU6-731P	1	6540854	6540964
ENSG00000229519	1	6547905	6548619
TAS1R1	1	6555307	6579755
ZBTB48	1	6579994	6589280
KLHL21	1	6590724	6614607
PHF13	1	6613731	6624030
THAP3	1	6624868	6635586
DNAJC11	1	6634168	6701924
LINC01672	1	6724637	6730012
ENSG00000284744	1	6767954	6770038
CAMTA1-DT	1	6783892	6784843
CAMTA1	1	6785454	7769706
ENSG00000227950	1	6834333	6834618
CAMTA1-AS3	1	7008376	7014279
RNU1-8P	1	7219360	7219524
CAMTA1-IT1	1	7368942	7370270
CAMTA1-AS2	1	7382487	7389754
CAMTA1-AS1	1	7441096	7441554
ENSG00000270171	1	7693124	7694844
ENSG00000270035	1	7698303	7698872
ENSG00000269978	1	7700704	7700970
VAMP3	1	7771296	7781432
ENSG00000269925	1	7776383	7776775
PER3	1	7784291	7845177
ENSG00000236266	1	7810242	7827342
UTS2	1	7843083	7853512
TNFRSF9	1	7915871	7943165
ENSG00000270330	1	7942372	7942726
PARK7	1	7954291	7985505
Y_RNA	1	7982881	7982983
ENSG00000284747	1	7991134	8005312
ENSG00000284716	1	7998187	7999934
ERRFI1	1	8004404	8026309
ERRFI1-DT	1	8026738	8122702
RPL7AP18	1	8057245	8058463
ENSG00000229305	1	8189824	8192770
ENSG00000288816	1	8191692	8194926
LINC01714	1	8201518	8215210
RNU1-7P	1	8206434	8206597
ENSG00000233645	1	8218190	8220529
RNU6-991P	1	8292157	8292263
SLC45A1	1	8318114	8344167
RERE	1	8352397	8848921
RERE-AS1	1	8424645	8435013
ENSG00000221083	1	8511795	8511919
ENSG00000270282	1	8512653	8513021
RPL7P11	1	8750430	8751087
RPL7P7	1	8786211	8786913
ENSG00000226545	1	8798475	8799506
ENSG00000228423	1	8805860	8807051
RPL23AP19	1	8831007	8831375
ENO1	1	8861000	8879190
MIR6728	1	8866502	8866590
ENO1-AS1	1	8878835	8879894
RNU6-304P	1	8883427	8883533
HMGN2P17	1	8893409	8894151
ENSG00000232208	1	8907393	8907744
ENSG00000232663	1	8909742	8909904
CA6	1	8945867	8975092
ENSG00000290109	1	8970490	8971244
RN7SL451P	1	8979576	8979874
SLC2A7	1	9002973	9026423
SLC2A5	1	9035106	9088478
ENSG00000252404	1	9082696	9082879
GPR157	1	9100305	9129102
MIR34AHG	1	9148011	9198906
MIR34A	1	9151668	9151777
ENSG00000289914	1	9162322	9162945
LNCTAM34A	1	9182004	9196284
H6PD	1	9234774	9271337
SPSB1	1	9292894	9369532
ENSG00000284652	1	9421098	9422862
LINC02606	1	9425094	9440564
RNA5SP40	1	9437669	9437778
ENSG00000235263	1	9501092	9503471
SLC25A33	1	9539465	9585173
ENSG00000231181	1	9576427	9576985
TMEM201	1	9588911	9614877
PIK3CD	1	9629889	9729114
PIK3CD-AS1	1	9652610	9654586
ENSG00000233268	1	9660828	9662626
PIK3CD-AS2	1	9672405	9687583
CLSTN1	1	9728926	9823984
MZT1P1	1	9780822	9781240
ENSG00000280113	1	9826289	9828271
CTNNBIP1	1	9848276	9910336
ENSG00000223989	1	9848318	9850154
ENSG00000285701	1	9900614	9908034
LZIC	1	9922113	9943407
ENSG00000228150	1	9942923	9949974
NMNAT1	1	9943428	9985501
RN7SKP269	1	9947318	9947636
TMEM274P	1	9950572	9960787
MIR5697	1	9967381	9967458
ENSG00000241326	1	9983141	9984568
RBP7	1	9997206	10016021
UBE4B	1	10032832	10181239
RPL21P21	1	10054445	10054781
PGAM1P11	1	10058671	10059648
RNU6-828P	1	10163268	10163374
KIF1B	1	10210570	10381603
ENSG00000264881	1	10227718	10227803
RNU6-37P	1	10298966	10299072
RN7SL731P	1	10306465	10306757
ENSG00000284735	1	10381906	10387150
ENSG00000284642	1	10395416	10397432
PGD	1	10398592	10420511
ENSG00000271989	1	10429881	10430677
CENPS-CORT	1	10430102	10452153
CENPS	1	10430433	10442808
CORT	1	10450031	10451998
DFFA	1	10456522	10472529
ENSG00000203469	1	10458555	10459338
PEX14	1	10472288	10630758
ENSG00000287727	1	10612222	10616452
RN7SL614P	1	10616836	10617115
CASZ1	1	10636604	10796650
ENSG00000272078	1	10639241	10654333
HSPE1P24	1	10895761	10895998
C1orf127	1	10946471	10982076
CFL1P6	1	10990978	10991797
TARDBP	1	11012344	11030528
MASP2	1	11022009	11047239
SRM	1	11054584	11060020
EXOSC10-AS1	1	11060233	11102105
EXOSC10	1	11066618	11099869
MTOR	1	11106535	11262556
MTOR-AS1	1	11143898	11149537
RNU6-537P	1	11152350	11152452
ANGPTL7	1	11189355	11195981
RNU6-291P	1	11226254	11226360
RPL39P6	1	11232963	11233112
UBIAD1	1	11273198	11296049
UBE2V2P3	1	11278616	11279351
ENSG00000284646	1	11311734	11319093
MTCYBP45	1	11425257	11425821
DISP3	1	11479155	11537551
ENSG00000285833	1	11500803	11502016
LINC01647	1	11609468	11613358
ENSG00000284708	1	11623558	11643416
FBXO2	1	11637018	11655785
FBXO44	1	11654375	11663327
MAD2L2	1	11658918	11691811
FBXO6	1	11664200	11674354
DRAXIN	1	11691710	11725857
AGTRAP	1	11736084	11754802
C1orf167	1	11761787	11789585
C1orf167-AS1	1	11777077	11779619
MTHFR	1	11785723	11806455
CLCN6	1	11806096	11848079
ENSG00000276470	1	11843812	11843984
ENSG00000278852	1	11845549	11845697
NPPA	1	11845709	11848345
ENSG00000275915	1	11847442	11847549
NPPB	1	11857464	11858945
SBF1P2	1	11877770	11880406
ENSG00000285646	1	11907940	11914298
RNU5E-1	1	11908152	11908271
RNU5E-4P	1	11909808	11909927
KIAA2013	1	11919591	11926428
PLOD1	1	11934205	11975538
ENSG00000287384	1	11979533	11980127
MFN2	1	11980181	12015211
ENSG00000270914	1	12017216	12017308
MIIP	1	12019466	12032045
MIR6729	1	12029158	12029222
RN7SL649P	1	12036740	12037014
TNFRSF8	1	12063303	12144207
RNU6-777P	1	12077881	12077984
RPL23AP89	1	12080293	12080547
ENSG00000285604	1	12088441	12092264
MIR7846	1	12166943	12167038
TNFRSF1B	1	12166991	12209228
MIR4632	1	12191713	12191773
RPL10P17	1	12220794	12221109
SNORA70	1	12221148	12221271
VPS13D	1	12230030	12512047
SNORA59A	1	12507246	12507397
LINC02766	1	12525716	12530691
DHRS3	1	12567909	12620133
RNU6ATAC18P	1	12569972	12570072
MIR6730	1	12578957	12579023
ENSG00000288927	1	12618389	12618987
AADACL4	1	12644085	12667076
ENSG00000226166	1	12692909	12693020
AADACL3	1	12716110	12728760
CFAP107	1	12746200	12763699
PRAMEF12	1	12773738	12777906
PRAMEF1	1	12791397	12796628
LINC01784	1	12822686	12823159
PRAMEF11	1	12824605	12831410
PRAMEF30P	1	12838125	12841357
HNRNPCL1	1	12847377	12848720
PRAMEF2	1	12857086	12861909
PRAMEF4	1	12879212	12886201
PRAMEF10	1	12892896	12898270
PRAMEF7	1	12916610	12920751
RNU6-1072P	1	12922554	12922660
PRAMEF29P	1	12926162	12928253
PRAMEF6	1	12938472	12947580
PRAMEF28P	1	13029339	13032130
PRAMEF27	1	13049476	13056575
HNRNPCL3	1	13060769	13062878
PRAMEF25	1	13068677	13077884
PRAMEF34P	1	13095179	13097971
PRAMEF35P	1	13104403	13105689
HNRNPCL2	1	13115488	13116854
PRAMEF36P	1	13128818	13131615
ENSG00000290772	1	13129793	13131409
ENSG00000233336	1	13146981	13147460
PRAMEF26	1	13148905	13158116
HNRNPCL4	1	13163914	13165631
PRAMEF9	1	13171848	13179459
PRAMEF13	1	13196188	13201409
PRAMEF18	1	13222695	13226154
PRAMEF31P	1	13245863	13248652
PRAMEF5	1	13254198	13263435
PRAMEF32P	1	13273539	13275627
RNU6-771P	1	13279125	13279231
PRAMEF8	1	13281304	13285137
PRAMEF33	1	13303539	13308907
PRAMEF15	1	13315581	13322598
ENSG00000228229	1	13324039	13324518
PRAMEF14	1	13341892	13347134
PRAMEF19	1	13368431	13371947
PRAMEF17	1	13389632	13392629
PRAMEF20	1	13410450	13421328
LRRC38	1	13474973	13514003
ENSG00000259961	1	13513220	13516270
BRWD1P1	1	13555001	13555694
PDPN	1	13583465	13617957
RNA5SP41	1	13623184	13623284
ENSG00000237445	1	13657311	13659910
ENSG00000253085	1	13696070	13696199
PRDM2	1	13700188	13825079
ENSG00000289380	1	13757778	13758465
KAZN	1	13892792	15118043
RNU6-1265P	1	14124233	14124335
ENSG00000231606	1	14221887	14304445
KAZN-AS1	1	14338825	14419973
TBCAP2	1	14692129	14692613
ENSG00000287756	1	14774469	14777727
TMEM51-AS1	1	15111815	15153618
TMEM51	1	15152532	15220478
TMEM51-AS2	1	15164344	15171317
MFFP1	1	15191828	15192845
ZBTB2P1	1	15226373	15227549
FHAD1	1	15236521	15400283
FHAD1-AS1	1	15326680	15343876
ENSG00000236045	1	15334166	15335464
EFHD2-AS1	1	15402979	15409433
EFHD2	1	15409888	15430339
CTRC	1	15438442	15449242
CELA2A	1	15456728	15472091
CELA2B	1	15465909	15491395
CASP9	1	15490832	15526534
DNAJC16	1	15526813	15592379
SCARNA21B	1	15542165	15542304
ENSG00000272510	1	15565611	15565956
AGMAT	1	15571699	15585051
ENSG00000237301	1	15586136	15603626
CHCHD2P6	1	15604597	15605043
RNU7-179P	1	15608078	15608145
CD24P1	1	15614643	15614867
DDI2	1	15617458	15669044
RSC1A1	1	15659713	15662033
ENSG00000271742	1	15682873	15683128
PLEKHM2	1	15684320	15734769
ENSG00000237938	1	15720312	15736896
SLC25A34	1	15736258	15741392
SLC25A34-AS1	1	15740048	15749896
TMEM82	1	15742499	15747982
FBLIM1	1	15756607	15786594
RPL12P14	1	15792796	15793285
UQCRHL	1	15807169	15809348
ENSG00000178715	1	15828232	15828669
SPEN-AS1	1	15834474	15848147
SPEN	1	15836095	15940456
ENSG00000270620	1	15917698	15917908
ZBTB17	1	15941869	15976132
ENSG00000234607	1	15969632	15970194
ENSG00000231353	1	15988182	15988441
ENSG00000275503	1	15989140	15989375
TBC1D3P6	1	15989871	15994751
SRARP	1	16004236	16008807
ENSG00000233078	1	16006160	16006671
HSPB7	1	16014028	16019594
CLCNKA	1	16018875	16034050
FAM131C2P	1	16035178	16040029
CLCNKB	1	16040252	16057311
FAM131C	1	16057769	16073651
EPHA2	1	16124337	16156069
EPHA2-AS1	1	16155176	16158148
ENSG00000224621	1	16159266	16161883
ARHGEF19-AS1	1	16197854	16198357
ARHGEF19	1	16197854	16212652
ENSG00000291077	1	16215907	16217425
ANO7L1	1	16216469	16228027
ENSG00000288398	1	16228674	16231335
CPLANE2	1	16231692	16237183
MT1XP1	1	16241213	16241398
FBXO42	1	16246840	16352480
SZRD1	1	16352575	16398145
RPL22P3	1	16369150	16369530
SPATA21	1	16387117	16437424
NECAP2	1	16440721	16460078
CROCCP3	1	16458753	16499257
LINC01772	1	16460948	16468481
RNU1-1	1	16514122	16514285
ENSG00000261135	1	16514645	16515754
ENSG00000285853	1	16515034	16521788
ENSG00000224174	1	16520694	16521796
LINC01783	1	16533886	16535649
RNU1-6P	1	16534081	16534224
PDE4DIPP8	1	16548651	16552531
NBPF1	1	16562319	16613562
ENSG00000271732	1	16617391	16617729
ENSG00000291072	1	16618253	16680618
CROCCP2	1	16618969	16657232
ENSG00000283773	1	16642767	16643109
MST1P2	1	16645622	16650289
ENSG00000282143	1	16656879	16667524
RNU1-3	1	16666785	16666948
ENSG00000280114	1	16681097	16688749
EIF1AXP1	1	16685621	16686055
ENSG00000290849	1	16687339	16692309
ESPNP	1	16691214	16720157
ENSG00000279151	1	16701546	16705594
ENSG00000293526	1	16706924	16710619
ENSG00000282740	1	16739938	16750589
CROCC	1	16740273	16972964
ENSG00000290850	1	16740280	16750968
RNU1-4	1	16740516	16740679
CROCCP4	1	16750233	16750964
ENSG00000290851	1	16754910	16770237
MST1L	1	16757232	16764480
ENSG00000223643	1	16851257	16853129
PDE4DIPP9	1	16855407	16859284
MIR3675	1	16858949	16859021
ENSG00000228549	1	16870945	16883659
RNU1-5P	1	16873708	16873851
ENSG00000238142	1	16887577	16889725
ENSG00000235241	1	16889095	16889602
RNU1-2	1	16895980	16896143
ENSG00000272426	1	16904339	16904776
ENSG00000290122	1	16905199	16905396
MFAP2	1	16974502	16980632
ENSG00000286898	1	16976302	16977792
ENSG00000226526	1	16978926	17005091
ATP13A2	1	16985958	17011928
ENSG00000288636	1	17005068	17011757
SDHB	1	17018664	17054151
PADI2	1	17066761	17119451
LINC02783	1	17189783	17197617
ENSG00000282843	1	17193232	17201733
PADI1	1	17205128	17246007
PADI3	1	17249098	17284233
MIR3972	1	17277889	17277975
PADI4	1	17308195	17364004
PADI6	1	17372196	17401699
RCC2-AS1	1	17406760	17407382
RCC2	1	17406760	17439677
ENSG00000290096	1	17439186	17439328
ARHGEF10L	1	17539698	17697874
LINC02810	1	17717625	17749978
ACTL8	1	17755333	17827063
ENSG00000284653	1	18015712	18045612
LINC01654	1	18065657	18074412
IGSF21	1	18107798	18378483
ENSG00000280222	1	18109389	18115861
IGSF21-AS1	1	18166929	18179346
ENSG00000225387	1	18385829	18388514
KLHDC7A	1	18480930	18485974
DYNLL1P3	1	18513118	18513383
ENSG00000225478	1	18595414	18595636
PAX7	1	18630846	18748866
TAS1R2	1	18839599	18859660
ALDH4A1	1	18871430	18902724
MIR4695	1	18883202	18883275
MIR1290	1	18897071	18897148
IFFO2	1	18904280	18956676
ENSG00000272084	1	19072110	19075511
UBR4	1	19074510	19210266
EMC1-AS1	1	19210348	19240709
EMC1	1	19215660	19251552
MRTO4	1	19251805	19260128
ENSG00000286064	1	19260521	19262307
AKR7L	1	19265982	19274194
AKR7A3	1	19282573	19288770
ENSG00000270728	1	19297080	19297903
AKR7A2	1	19303965	19312144
RNU6-1099P	1	19305076	19305182
SLC66A1	1	19312326	19329300
CAPZB	1	19338775	19485539
RN7SL277P	1	19424384	19424671
MICOS10	1	19484403	19629821
RNU4-28P	1	19510593	19510733
MICOS10-DT	1	19591802	19596832
NBL1	1	19596979	19658456
MICOS10-NBL1	1	19597067	19656927
ENSG00000226396	1	19608114	19608568
HTR6	1	19664875	19680966
TMCO4	1	19682240	19799945
RNF186	1	19814029	19815283
RNF186-AS1	1	19814367	19819502
OTUD3	1	19882395	19912945
PLA2G2E	1	19920009	19923617
RN7SL304P	1	19970969	19971269
PLA2G2A	1	19975431	19980416
PLA2G5	1	20028179	20091911
PLA2G2D	1	20111939	20119566
PLA2G2F	1	20139323	20150381
ENSG00000227066	1	20154171	20160568
PLA2G2C	1	20161253	20186518
UBXN10	1	20186096	20196050
LINC01757	1	20243095	20244664
ENSG00000284710	1	20272018	20275005
VWA5B1	1	20290875	20359518
ENSG00000226664	1	20294211	20323187
LINC01141	1	20360579	20431234
ENSG00000226487	1	20412304	20413253
ENSG00000284641	1	20476222	20478937
ENSG00000284743	1	20478779	20480397
CAMK2N1	1	20482391	20486210
ENSG00000289402	1	20486358	20487405
MUL1	1	20499448	20508151
RPS4XP4	1	20525989	20526751
FAM43B	1	20552573	20555020
CDA	1	20589086	20618903
PINK1	1	20633458	20651511
MIR6084	1	20633679	20633788
PINK1-AS	1	20642657	20652193
DDOST	1	20651767	20661544
KIF17	1	20664014	20718017
ENSG00000235432	1	20692734	20694013
SH2D5	1	20719731	20732837
ENSG00000233069	1	20732880	20733952
HP1BP3	1	20740266	20787323
EIF4G3	1	20806292	21177285
RNU7-200P	1	20841241	20841302
MIR1256	1	20988314	20988432
RPS15AP6	1	21003550	21003934
ENSG00000236073	1	21073639	21073753
HSPE1P27	1	21161475	21162081
ENSG00000287192	1	21177054	21178164
ECE1	1	21217247	21345572
ENSG00000236936	1	21266082	21267251
ECE1-AS1	1	21293290	21299874
PPP1R11P1	1	21397987	21398362
PDE4DIPP10	1	21411460	21413293
ENSG00000236009	1	21415898	21417492
NBPF2P	1	21424625	21427967
HS6ST1P1	1	21428303	21429536
CROCCP5	1	21434318	21437558
NBPF3	1	21440128	21485005
PFN1P10	1	21459756	21460082
ALPL	1	21509397	21578410
ENSG00000289715	1	21547404	21554002
LINC02596	1	21586472	21591187
RAP1GAP	1	21596221	21669357
USP48	1	21678298	21783606
ENSG00000231978	1	21768269	21768575
LDLRAD2	1	21812265	21825225
HSPG2	1	21822244	21937310
RPL21P29	1	21908098	21908580
ENSG00000293453	1	21950679	21956871
ENSG00000283234	1	21950735	21951578
CELA3B	1	21977022	21998642
ENSG00000285959	1	21983606	22030617
RN7SL386P	1	21987481	21987777
RNU6-1022P	1	21987816	21987919
CELA3A	1	22001657	22012542
RN7SL186P	1	22010650	22010946
RNU6-776P	1	22010985	22011088
LINC01635	1	22023990	22026048
LINC00339	1	22024558	22031223
ENSG00000289694	1	22025142	22092943
CDC42-AS1	1	22028317	22052927
ENSG00000285794	1	22030527	22030748
CDC42	1	22052627	22101360
CDC42-IT1	1	22059197	22064199
MPHOSPH6P1	1	22068340	22068827
WNT4	1	22117313	22143969
ENSG00000285873	1	22142850	22157401
MIR4418	1	22266239	22266300
PPIAP34	1	22322840	22323331
ENSG00000279625	1	22364630	22366482
ZBTB40	1	22428838	22531157
ZBTB40-IT1	1	22517474	22519708
EPHA8	1	22563489	22603595
MIR6127	1	22633258	22633366
C1QA	1	22635077	22639678
ENSG00000289692	1	22636506	22644067
C1QC	1	22643014	22648110
C1QB	1	22652762	22661637
EPHB2	1	22710839	22921500
MIR4684	1	22719517	22719598
ENSG00000225952	1	22835713	22836849
MIR4253	1	22863159	22863226
LACTBL1	1	22953043	22972866
TEX46	1	23010834	23019100
KDM1A	1	23019443	23083689
ENSG00000240553	1	23020147	23088058
MIR3115	1	23044305	23044372
ENSG00000266802	1	23057858	23057934
LUZP1	1	23084030	23178152
ENSG00000293565	1	23094326	23094376
ENSG00000229010	1	23140325	23141142
RNU6-514P	1	23162704	23162810
RNU6-135P	1	23163953	23164053
ENSG00000289014	1	23167098	23167889
HTR1D	1	23191895	23217502
RPL29P6	1	23244765	23245224
LINC01355	1	23281307	23287488
ENSG00000284726	1	23297797	23302866
HNRNPR	1	23303771	23344336
ZNF436	1	23359448	23369836
ZNF436-AS1	1	23368939	23371839
ENSG00000271420	1	23378380	23379029
TCEA3	1	23380909	23424748
ENSG00000232482	1	23410832	23412146
ASAP3	1	23428563	23484637
E2F2	1	23506438	23531233
ENSG00000235052	1	23549139	23550915
ID3	1	23557926	23559501
ENSG00000285802	1	23576436	23593621
MDS2	1	23581495	23640568
EEF1A1P48	1	23670294	23680259
RPL11	1	23691742	23696835
ELOA-AS1	1	23706901	23778325
ELOA	1	23743448	23762059
PITHD1	1	23778418	23788232
ENSG00000289835	1	23790609	23793558
LYPLA2	1	23791110	23795539
GALE	1	23795599	23800781
HMGCL	1	23801885	23838620
FUCA1	1	23845077	23868290
CNR2	1	23870515	23913362
BTBD6P1	1	23901471	23902737
ENSG00000232557	1	23907111	23907885
